▁UNDERSTAND	-8.329813	476
▁WITHOUT	-8.334275	477
▁BELIEVE	-8.345627	478
▁POWER	-8.355341	479
▁MAYBE	-8.375276	480
▁BUILD	-8.383187	481
▁MONEY	-8.386291	482
▁BETWEEN	-8.390532	483
▁GONNA	-8.390549	484
▁IMPORTANT	-8.399546	485
▁ANYTHING	-8.424572	486
▁LEFT	-8.428634	487
▁HAVING	-8.431481	488
▁WHITE	-8.438231	489
▁PROBLEM	-8.441372	490
▁SECOND	-8.445678	491
▁SPEAK	-8.460896	492
▁TOGETHER	-8.466305	493
▁BLACK	-8.478995	494
▁PUBLIC	-8.479166	495
▁HEALTH	-8.481624	496
▁NOTHING	-8.492066	497
▁EVERYTHING	-8.492423	498
Q	-9.857651	499
